backup/main-before-all-branches-34080579194-6c9dd12a8593	already-contained
backup/main-before-all-branches-34080942614-6c9dd12a8593	already-contained
backup/main-before-all-branches-34081015792-6c9dd12a8593	already-contained
backup/main-before-all-branches-34098423957-e31df34dd30d	already-contained
backup/main-before-all-branches-34107591795-e31df34dd30d	already-contained
backup/main-before-all-branches-6c9dd12a-20260907	already-contained
backup/pr451-before-squash-065958b2-20260907	already-contained
backup/pr451-push-before-11cb0363-20260907	already-contained
codex/final-gap-closure-20260907	history-only
codex/hepta-bao-connect-20260908	already-contained
codex/hepta-blocker-autofix-20260907	already-contained
codex/hepta-blocker-round2-20260907	already-contained
codex/hepta-final-gap-closure-r2-20260908	already-contained
codex/hepta-final-gap-closure-r3-20260908	already-contained
codex/hepta-final-materializer-v2-20260907	already-contained
codex/hepta-gap-closure-full-ci-20260907	already-contained
codex/hepta-gap-closure-materialized-r3-20260907	already-contained
codex/hepta-live-organ-composition-20260907	history-only
codex/hepta-main-tree-final-20260908	already-contained
codex/hepta-organ-host-20260907	already-contained
codex/hepta-pinned-candidate-read-20260907	history-only
codex/hepta-private-ci-format-baseline-20260907	already-contained
codex/hepta-scoped-discovery-cli-20260907	history-only
codex/hepta-v8-acl-denial-fixture-preconditions-20260906	already-contained
codex/hepta-v8-agentd-process-bazel-qualification-20260906	already-contained
codex/hepta-v8-agentd-startup-diagnostics-20260906	already-contained
codex/hepta-v8-algorithm-authority-regression-20260906	already-contained
codex/hepta-v8-argument-comment-closure-20260907	already-contained
codex/hepta-v8-argument-comment-closure-r2-20260907	already-contained
codex/hepta-v8-browser-canonical-shadow-20260906	already-contained
codex/hepta-v8-cart-failure-atomicity-20260906	already-contained
codex/hepta-v8-cognitive-read-integrity-20260906	already-contained
codex/hepta-v8-cognitive-read-owner-projection-20260906	already-contained
codex/hepta-v8-cognitive-read-owner-projection-tests-20260906	already-contained
codex/hepta-v8-cognitive-store-atomicity-20260906	already-contained
codex/hepta-v8-cognitive-types-citation-binding-20260906	already-contained
codex/hepta-v8-context-candidate-binding-20260906	already-contained
codex/hepta-v8-context-mandatory-groups-20260906	already-contained
codex/hepta-v8-contracts-bazel-qualification-20260906	already-contained
codex/hepta-v8-control-cart-analysis-20260906	already-contained
codex/hepta-v8-control-graph-validation-20260906	already-contained
codex/hepta-v8-core-argument-comments-20260906	already-contained
codex/hepta-v8-cross-platform-lint-repair-20260906	already-contained
codex/hepta-v8-diagnostic-assertions-20260906	already-contained
codex/hepta-v8-eval-exact-ess-admission-20260906	already-contained
codex/hepta-v8-eval-threshold-regression-20260906	already-contained
codex/hepta-v8-fleet-allocation-calculator-20260906	already-contained
codex/hepta-v8-fleet-allocation-model-20260906	already-contained
codex/hepta-v8-fleet-allocation-tests-20260906	already-contained
codex/hepta-v8-format-prerequisite-20260906	already-contained
codex/hepta-v8-format-probe-20260906	already-contained
codex/hepta-v8-gap-implementation-20260906	already-contained
codex/hepta-v8-hepta-argument-comments-20260906	already-contained
codex/hepta-v8-heptabao-ci-doc-precision-20260906	already-contained
codex/hepta-v8-heptabao-secret-boundary-20260906	already-contained
codex/hepta-v8-implementation-contracts-20260906	already-contained
codex/hepta-v8-intelligence-candidate-bound-20260906	already-contained
codex/hepta-v8-intuition-candidate-bound-20260906	already-contained
codex/hepta-v8-learning-create-only-20260906	already-contained
codex/hepta-v8-learning-create-only-docs-20260906	already-contained
codex/hepta-v8-llvm-msvc-header-parser-20260906	already-contained
codex/hepta-v8-llvm-source-anchored-patch-20260906	already-contained
codex/hepta-v8-matrix-atomic-decisions-20260906	already-contained
codex/hepta-v8-matrix-deletion-capacity-tests-20260906	already-contained
codex/hepta-v8-matrix-durable-queue-fences-20260906	already-contained
codex/hepta-v8-matrix-gap-adversarial-tests-20260906	already-contained
codex/hepta-v8-matrix-gap-page-qualification-20260906	already-contained
codex/hepta-v8-matrix-hostile-fixtures-20260906	already-contained
codex/hepta-v8-matrix-idle-journal-binding-20260906	already-contained
codex/hepta-v8-matrix-mention-admission-20260906	already-contained
codex/hepta-v8-matrix-recovery-scrub-20260906	already-contained
codex/hepta-v8-matrix-restart-collision-tests-20260906	already-contained
codex/hepta-v8-matrix-sync-decision-tests-20260906	already-contained
codex/hepta-v8-matrix-sync-identity-20260906	already-contained
codex/hepta-v8-matrix-sync-types-20260906	already-contained
codex/hepta-v8-matrix-tombstone-fences-20260906	already-contained
codex/hepta-v8-matrix-tombstone-schema-20260906	already-contained
codex/hepta-v8-matrix-unchanged-owner-observation-20260906	already-contained
codex/hepta-v8-matrix-v2-adversarial-tests-20260906	already-contained
codex/hepta-v8-matrix-v2-composer-20260906	already-contained
codex/hepta-v8-matrix-v2-startup-binding-20260906	already-contained
codex/hepta-v8-memory-argument-comments-20260906	already-contained
codex/hepta-v8-memory-lint-prerequisite-20260906	already-contained
codex/hepta-v8-memory-recovery-fail-closed-20260906	already-contained
codex/hepta-v8-mock-capture-error-observation-20260906	already-contained
codex/hepta-v8-native-binding-lint-review-20260906	already-contained
codex/hepta-v8-native-fixture-portability-20260906	already-contained
codex/hepta-v8-native-followup-readiness-20260906	already-contained
codex/hepta-v8-native-observation-review-20260906	already-contained
codex/hepta-v8-native-source-bindings-20260906	already-contained
codex/hepta-v8-native-terminal-failclosed-20260906	already-contained
codex/hepta-v8-native-test-prerequisites-20260906	already-contained
codex/hepta-v8-native-watcher-peer-fixtures-20260906	already-contained
codex/hepta-v8-ndu-covariance-20260906	already-contained
codex/hepta-v8-ndu-covariance-tests-20260906	already-contained
codex/hepta-v8-ndu-protocol-path-20260906	already-contained
codex/hepta-v8-noncanonical-json-fixtures-20260906	already-contained
codex/hepta-v8-objective-effective-forbidden-20260906	already-contained
codex/hepta-v8-objective-feasibility-20260906	already-contained
codex/hepta-v8-objective-feasibility-tests-20260906	already-contained
codex/hepta-v8-objective-json-shape-20260906	already-contained
codex/hepta-v8-objective-source-structure-20260906	already-contained
codex/hepta-v8-ope-exact-ceiling-20260906	already-contained
codex/hepta-v8-operations-revision-20260906	already-contained
codex/hepta-v8-operator-windows-file-identity-20260906	already-contained
codex/hepta-v8-owner-retrieval-observation-20260906	already-contained
codex/hepta-v8-p0-path-ownership-20260906	already-contained
